Cell_line,GENE,normZ,p-value,FDR,Treatment
HeLA,SMCR8,0,0.501,1.02,VE821
HeLA,SMDT1,-0.38,0.352,1.04,VE821
HeLA,SMEK1,-0.73,0.233,1.05,VE821
HeLA,SMEK2,-1.03,0.152,1.03,VE821
HeLA,SMG1,-0.37,0.354,1.04,VE821
HeLA,SMG5,0.51,0.697,1.01,VE821
HeLA,SMG6,0.41,0.659,1.01,VE821
HeLA,SMG7,0.13,0.553,1.02,VE821
HeLA,SMG8,0.56,0.712,1,VE821
HeLA,SMG9,-0.41,0.341,1.04,VE821
HeLA,SMIM1,1.37,0.915,0.992,VE821
HeLA,SMIM11,0.62,0.731,1,VE821
HeLA,SMIM12,-0.3,0.383,1.04,VE821
HeLA,SMIM13,0.47,0.683,1.01,VE821
HeLA,SMIM19,-0.09,0.463,1.03,VE821
HeLA,SMIM2,0.64,0.738,0.999,VE821
HeLA,SMIM20,0.93,0.823,0.994,VE821
HeLA,SMIM21,0.18,0.573,1.02,VE821
HeLA,SMIM7,1.26,0.896,0.991,VE821
HeLA,SMIM9,-0.59,0.276,1.05,VE821
HeLA,SMKR1,-0.99,0.162,1.03,VE821
HeLA,SMLR1,0.19,0.576,1.02,VE821
HeLA,SMNDC1,-0.91,0.181,1.03,VE821
HeLA,SMO,-2.56,0.00523,0.617,VE821
HeLA,SMOC1,1.74,0.959,0.995,VE821
HeLA,SMOC2,0.7,0.758,0.999,VE821
HeLA,SMOX,-0.35,0.364,1.04,VE821
HeLA,SMPD1,1.07,0.858,0.992,VE821
HeLA,SMPD2,-0.16,0.435,1.03,VE821
HeLA,SMPD3,-0.65,0.258,1.05,VE821
HeLA,SMPD4,0.36,0.642,1.01,VE821
HeLA,SMPDL3A,-0.21,0.419,1.04,VE821
HeLA,SMPDL3B,0.18,0.572,1.02,VE821
HeLA,SMS,0.64,0.74,0.999,VE821
HeLA,SMTN,-0.55,0.293,1.05,VE821
HeLA,SMTNL1,0.14,0.557,1.02,VE821
HeLA,SMTNL2,-2.26,0.012,0.711,VE821
HeLA,SMUG1,0.5,0.691,1.01,VE821
HeLA,SMURF1,0.54,0.705,1,VE821
HeLA,SMURF2,0.66,0.746,0.999,VE821
HeLA,SMYD1,-0.72,0.235,1.05,VE821
HeLA,SMYD2,0.07,0.53,1.02,VE821
HeLA,SMYD3,0.48,0.686,1.01,VE821
HeLA,SMYD4,0.81,0.791,0.997,VE821
HeLA,SMYD5,-0.86,0.196,1.03,VE821
HeLA,SNAI1,0.71,0.761,0.999,VE821
HeLA,SNAI2,0.8,0.787,0.997,VE821
HeLA,SNAI3,-0.27,0.393,1.04,VE821
HeLA,SNAP23,0.96,0.831,0.993,VE821
HeLA,SNAP25,-0.07,0.474,1.03,VE821
HeLA,SNAP29,0.32,0.627,1.01,VE821
HeLA,SNAP47,-0.18,0.428,1.03,VE821
HeLA,SNAP91,1.01,0.845,0.992,VE821
HeLA,SNAPC2,0.67,0.747,0.999,VE821
HeLA,SNAPC3,1.33,0.909,0.992,VE821
HeLA,SNAPC4,0.33,0.631,1.01,VE821
HeLA,SNAPC5,-0.41,0.34,1.04,VE821
HeLA,SNAPIN,1.09,0.861,0.992,VE821
HeLA,SNCAIP,-0.87,0.191,1.04,VE821
HeLA,SNCB,-0.02,0.494,1.02,VE821
HeLA,SNCG,0.94,0.825,0.993,VE821
HeLA,SND1,-0.56,0.287,1.05,VE821
HeLA,SNED1,-2.04,0.0208,0.775,VE821
HeLA,SNF8,0.44,0.67,1.01,VE821
HeLA,SNIP1,1.08,0.861,0.992,VE821
HeLA,SNN,-1.23,0.109,1,VE821
HeLA,SNPH,-2.36,0.00923,0.664,VE821
HeLA,SNRK,1.24,0.893,0.991,VE821
HeLA,SNRNP200,0.76,7.77E-01,9.98E-01,VE821
HeLA,SNRNP35,1.77,9.62E-01,0.995,VE821
