Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,MMP15,-1.29,0.0977,1.07,AZD6738
HCT116,MMP16,-0.5,0.31,1.03,AZD6738
HCT116,MMP17,0.33,0.631,0.992,AZD6738
HCT116,MMP19,-0.24,0.403,1.02,AZD6738
HCT116,MMP2,-0.77,0.22,1.07,AZD6738
HCT116,MMP21,0.62,0.731,0.988,AZD6738
HCT116,MMP23B,-0.6,0.274,1.04,AZD6738
HCT116,MMP24,-0.18,0.429,1.02,AZD6738
HCT116,MMP25,-2.18,0.0146,0.891,AZD6738
HCT116,MMP26,1.41,0.921,0.993,AZD6738
HCT116,MMP27,1.29,0.901,0.989,AZD6738
HCT116,MMP28,0.5,0.69,0.99,AZD6738
HCT116,MMP3,1.29,0.902,0.989,AZD6738
HCT116,MMP7,0.43,0.668,0.991,AZD6738
HCT116,MMP8,-1.77,0.0386,0.998,AZD6738
HCT116,MMP9,0.87,0.809,0.984,AZD6738
HCT116,MMRN1,-1.15,0.125,1.08,AZD6738
HCT116,MMRN2,-0.93,0.176,1.08,AZD6738
HCT116,MMS19,-0.26,0.398,1.02,AZD6738
HCT116,MMS22L,1.88,0.97,0.998,AZD6738
HCT116,MN1,0.24,0.595,0.996,AZD6738
HCT116,MNAT1,0.16,0.564,0.999,AZD6738
HCT116,MND1,0.32,0.624,0.994,AZD6738
HCT116,MNDA,0.06,0.522,1.01,AZD6738
HCT116,MNS1,0.36,0.642,0.991,AZD6738
HCT116,MNT,-0.64,0.26,1.05,AZD6738
HCT116,MNX1,0.88,0.81,0.984,AZD6738
HCT116,MOAP1,-1.09,0.138,1.08,AZD6738
HCT116,MOB1B,-0.42,0.339,1.04,AZD6738
HCT116,MOB2,1.64,0.949,0.997,AZD6738
HCT116,MOB3A,1.86,0.968,0.998,AZD6738
HCT116,MOB3B,0.26,0.602,0.994,AZD6738
HCT116,MOB3C,2.18,0.985,1,AZD6738
HCT116,MOBP,-2.04,0.0207,0.902,AZD6738
HCT116,MOCOS,-0.59,0.276,1.04,AZD6738
HCT116,MOCS1,0.27,0.608,0.995,AZD6738
HCT116,MOCS2,-0.78,0.217,1.07,AZD6738
HCT116,MOCS3,-1.39,0.0829,1.08,AZD6738
HCT116,MOG,0.66,0.744,0.988,AZD6738
HCT116,MOGAT1,-1.22,0.111,1.07,AZD6738
HCT116,MOGAT2,-1.72,0.043,1.01,AZD6738
HCT116,MOGAT3,-1.22,0.11,1.08,AZD6738
HCT116,MOGS,-0.53,0.297,1.03,AZD6738
HCT116,MOK,-0.2,0.422,1.02,AZD6738
HCT116,MON1A,1.33,0.908,0.991,AZD6738
HCT116,MON1B,2.17,0.985,1,AZD6738
HCT116,MON2,-1.37,0.085,1.08,AZD6738
HCT116,MORC1,1.25,0.894,0.989,AZD6738
HCT116,MORC2,0.34,0.631,0.992,AZD6738
HCT116,MORC3,0.09,0.536,1,AZD6738
HCT116,MORC4,-0.76,0.223,1.07,AZD6738
HCT116,MORF4L1,-1.58,0.0572,1.06,AZD6738
HCT116,MORF4L2,-0.99,0.162,1.08,AZD6738
HCT116,MORN1,-0.33,0.373,1.03,AZD6738
HCT116,MORN2,0.47,0.679,0.99,AZD6738
HCT116,MORN3,-0.35,0.362,1.03,AZD6738
HCT116,MORN4,0.85,0.803,0.983,AZD6738
HCT116,MORN5,1.51,0.934,0.994,AZD6738
HCT116,MOS,-1.32,0.0942,1.07,AZD6738
HCT116,MOSPD1,-1.71,0.0439,1.01,AZD6738
HCT116,MOSPD2,-2.39,0.00839,0.853,AZD6738
HCT116,MOSPD3,0.9,0.816,0.984,AZD6738
HCT116,MOV10,-0.73,0.232,1.07,AZD6738
HCT116,MOV10L1,0.62,0.732,0.988,AZD6738
HCT116,MOXD1,-0.38,0.351,1.03,AZD6738
HCT116,MPC1,-0.67,0.25,1.06,AZD6738
HCT116,MPC2,-1.88,0.0302,0.942,AZD6738
HCT116,MPDU1,1.13,0.872,0.987,AZD6738
HCT116,MPDZ,0.34,0.635,0.99,AZD6738
HCT116,MPEG1,-0.09,0.465,1.01,AZD6738
HCT116,MPG,-1.02,0.154,1.09,AZD6738
HCT116,MPHOSPH10,-3.33,0.000427,0.299,AZD6738
HCT116,MPHOSPH8,0.18,0.57,0.999,AZD6738
HCT116,MPHOSPH9,-0.93,0.176,1.08,AZD6738
