Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1-hTER_p53,KYNU,0.39,0.653,0.992,AZD6738
RPE1-hTER_p53,L1CAM,-1.25,0.106,1.26,AZD6738
RPE1-hTER_p53,L2HGDH,0.23,0.59,1.01,AZD6738
RPE1-hTER_p53,L3HYPDH,-0.71,0.238,1.18,AZD6738
RPE1-hTER_p53,L3MBTL1,-0.52,0.301,1.14,AZD6738
RPE1-hTER_p53,L3MBTL2,-0.66,0.255,1.17,AZD6738
RPE1-hTER_p53,L3MBTL3,0.19,0.574,1.02,AZD6738
RPE1-hTER_p53,L3MBTL4,-0.43,0.333,1.12,AZD6738
RPE1-hTER_p53,LACC1,-0.01,0.496,1.04,AZD6738
RPE1-hTER_p53,LACE1,0.34,0.634,0.997,AZD6738
RPE1-hTER_p53,LACRT,0.36,0.64,0.996,AZD6738
RPE1-hTER_p53,LACTB,0.75,0.774,0.976,AZD6738
RPE1-hTER_p53,LACTB2,0.51,0.694,0.987,AZD6738
RPE1-hTER_p53,LACTBL1,0.29,0.615,1,AZD6738
RPE1-hTER_p53,LAD1,1.03,0.85,0.97,AZD6738
RPE1-hTER_p53,LAG3,0.88,0.81,0.973,AZD6738
RPE1-hTER_p53,LAIR1,-0.75,0.228,1.18,AZD6738
RPE1-hTER_p53,LALBA,-1.12,0.131,1.26,AZD6738
RPE1-hTER_p53,LAMA1,-0.77,0.221,1.18,AZD6738
RPE1-hTER_p53,LAMA2,2.03,0.979,0.991,AZD6738
RPE1-hTER_p53,LAMA3,-0.58,0.282,1.15,AZD6738
RPE1-hTER_p53,LAMA4,0.26,0.602,1.01,AZD6738
RPE1-hTER_p53,LAMA5,-0.75,0.228,1.18,AZD6738
RPE1-hTER_p53,LAMB1,-0.33,0.371,1.1,AZD6738
RPE1-hTER_p53,LAMB2,0.28,0.611,1,AZD6738
RPE1-hTER_p53,LAMB3,0.16,0.564,1.02,AZD6738
RPE1-hTER_p53,LAMB4,1.72,0.957,0.983,AZD6738
RPE1-hTER_p53,LAMC1,-1.27,0.101,1.26,AZD6738
RPE1-hTER_p53,LAMC2,-0.46,0.321,1.12,AZD6738
RPE1-hTER_p53,LAMC3,-1.68,0.046,1.23,AZD6738
RPE1-hTER_p53,LAMP1,-0.43,0.333,1.12,AZD6738
