Cell_line,GENE,normZ,p-value,FDR,Treatment
293A,RPN1,0.34,0.633,1.01,AZD6738
293A,RPN2,1.16,0.877,0.992,AZD6738
293A,RPP14,-0.83,0.202,1.03,AZD6738
293A,RPP25,0.83,0.797,0.993,AZD6738
293A,RPP25L,-1.13,0.13,1.02,AZD6738
293A,RPP30,1.91,0.972,0.996,AZD6738
293A,RPP38,-0.16,0.435,1.03,AZD6738
293A,RPP40,0.59,0.723,1,AZD6738
293A,RPRD1A,0.64,0.739,1,AZD6738
293A,RPRD1B,-0.5,0.307,1.04,AZD6738
293A,RPRD2,-1.23,0.109,1.01,AZD6738
293A,RPRM,0.31,0.621,1.01,AZD6738
293A,RPRML,0.56,0.713,1,AZD6738
293A,RPS10,0.08,0.53,1.01,AZD6738
293A,RPS19BP1,-1.22,0.111,1,AZD6738
293A,RPS21,-2.15,0.0159,0.794,AZD6738
293A,RPS5,0.64,0.738,1,AZD6738
293A,RPS6KA1,-0.31,0.38,1.04,AZD6738
293A,RPS6KA2,0.75,0.774,0.994,AZD6738
293A,RPS6KA3,-0.43,0.334,1.04,AZD6738
293A,RPS6KA4,0.02,0.509,1.02,AZD6738
293A,RPS6KA5,0.12,0.549,1.01,AZD6738
293A,RPS6KA6,0.54,0.706,1,AZD6738
293A,RPS6KB1,0.89,0.813,0.993,AZD6738
293A,RPS6KB2,-0.17,0.431,1.03,AZD6738
293A,RPS6KC1,-0.44,0.329,1.04,AZD6738
293A,RPS6KL1,-0.85,0.199,1.03,AZD6738
293A,RPSA,1.17,0.879,0.992,AZD6738
293A,RPTN,-0.06,0.478,1.02,AZD6738
293A,RPTOR,-0.6,0.276,1.04,AZD6738
293A,RPUSD1,0.72,0.765,0.997,AZD6738
293A,RPUSD2,-0.64,0.261,1.04,AZD6738
293A,RPUSD3,1.45,0.927,0.992,AZD6738
293A,RPUSD4,0.7,0.759,0.997,AZD6738
293A,RQCD1,1.36,0.913,0.992,AZD6738
293A,RRAD,-1.15,0.126,1.02,AZD6738
293A,RRAGA,-0.21,0.418,1.03,AZD6738
293A,RRAGB,0.14,0.557,1.01,AZD6738
293A,RRAGC,-0.24,0.405,1.04,AZD6738
293A,RRAGD,0.68,0.75,0.998,AZD6738
293A,RRAS,1.81,0.965,0.995,AZD6738
293A,RRBP1,1.11,0.866,0.993,AZD6738
293A,RREB1,1.48,0.931,0.992,AZD6738
293A,RRH,1.48,0.93,0.992,AZD6738
293A,RRM2,0.16,0.562,1.01,AZD6738
293A,RRM2B,0.23,0.592,1.01,AZD6738
293A,RRN3,0.15,0.559,1.01,AZD6738
293A,RRNAD1,0.02,0.506,1.02,AZD6738
293A,RRP1,0.59,0.722,1,AZD6738
293A,RRP12,-0.5,0.309,1.04,AZD6738
293A,RRP15,-1.47,0.0709,0.983,AZD6738
293A,RRP1B,0.2,0.578,1.01,AZD6738
293A,RRP36,-1.13,0.129,1.01,AZD6738
293A,RRP8,1.57,0.941,0.994,AZD6738
293A,RRP9,2.14,0.984,0.998,AZD6738
293A,RRS1,0.81,0.791,0.993,AZD6738
293A,RS1,0.1,0.539,1.01,AZD6738
293A,RSAD1,1.09,0.863,0.993,AZD6738
293A,RSAD2,-0.13,0.447,1.03,AZD6738
293A,RSBN1,0.51,0.696,1.01,AZD6738
293A,RSBN1L,-0.9,0.183,1.03,AZD6738
293A,RSF1,0.28,0.61,1.01,AZD6738
293A,RSG1,0.34,0.633,1.01,AZD6738
293A,RSL1D1,-0.94,0.174,1.04,AZD6738
293A,RSPH1,0.08,0.533,1.01,AZD6738
293A,RSPH3,1.63,0.949,0.995,AZD6738
293A,RSPH4A,-1.15,0.124,1.02,AZD6738
293A,RSPH6A,2.01,0.978,0.997,AZD6738
293A,RSPH9,0.86,0.806,0.992,AZD6738
293A,RSPO1,-1.11,0.134,1.01,AZD6738
293A,RSPO2,0.3,0.618,1.01,AZD6738
293A,RSPO3,1.32,0.907,0.993,AZD6738
293A,RSPO4,1.58,0.943,0.994,AZD6738
293A,RSPRY1,-0.49,0.312,1.04,AZD6738
293A,RSRC1,-1.58,0.0568,0.959,AZD6738
293A,RSRC2,0.07,5.28E-01,1.02E+00,AZD6738
293A,RSU1,0.81,0.792,0.993,AZD6738
293A,RTBDN,1.39,0.918,0.991,AZD6738
293A,RTCA,-0.76,0.223,1.03,AZD6738
293A,RTDR1,0.57,0.716,1,AZD6738
293A,RTEL1,-1.6,0.0553,0.96,AZD6738
293A,RTF1,-0.82,0.205,1.03,AZD6738
293A,RTFDC1,0.73,0.767,0.996,AZD6738
293A,RTKN,-0.51,0.305,1.04,AZD6738
293A,RTKN2,0.4,0.657,1.01,AZD6738
293A,RTL1,1.09,0.862,0.993,AZD6738
293A,RTN1,-1.41,0.0799,1,AZD6738
293A,RTN2,-1.21,1.13E-01,1.01,AZD6738
293A,RTN3,-2.41,0.00795,0.672,AZD6738
293A,RTN4,-0.18,0.427,1.03,AZD6738
293A,RTN4IP1,0.41,0.66,1.01,AZD6738
293A,RTN4R,-0.27,0.394,1.04,AZD6738
293A,RTN4RL1,-1.92,0.0277,0.879,AZD6738
293A,RTN4RL2,-1.95,0.0257,0.849,AZD6738
293A,RTP1,1.53,0.937,0.993,AZD6738
293A,RTP2,-0.87,0.191,1.03,AZD6738
293A,RTP3,-0.87,0.192,1.02,AZD6738
293A,RTP4,-0.88,0.189,1.03,AZD6738
293A,RTTN,-1.77,0.0383,0.929,AZD6738
293A,RUFY1,-0.4,0.345,1.04,AZD6738
293A,RUFY2,-1.32,0.0937,1.01,AZD6738
293A,RUFY3,1.12,0.868,0.992,AZD6738
293A,RUFY4,0.11,0.544,1.01,AZD6738
293A,RUNDC1,0.29,0.615,1.01,AZD6738
293A,RUNDC3A,-0.22,0.414,1.03,AZD6738
293A,RUNDC3B,-0.41,0.341,1.04,AZD6738
293A,RUNX1,-0.2,0.419,1.03,AZD6738
293A,RUNX1T1,-1.75,0.0403,0.935,AZD6738
293A,RUNX2,-0.3,0.381,1.04,AZD6738
293A,RUNX3,-0.46,0.322,1.04,AZD6738
293A,RUSC1,-1.64,0.0504,0.979,AZD6738
293A,RUSC2,0.9,0.815,0.993,AZD6738
293A,RWDD2A,-0.35,0.363,1.04,AZD6738
293A,RWDD2B,0.43,0.666,1.01,AZD6738
293A,RWDD3,1.26,0.896,0.993,AZD6738
293A,RXFP1,0.59,0.723,1,AZD6738
293A,RXFP2,-0.26,0.399,1.04,AZD6738
293A,RXFP3,1.07,0.858,0.993,AZD6738
293A,RXFP4,0.07,0.529,1.01,AZD6738
293A,RXRA,1.63,0.949,0.995,AZD6738
293A,RXRB,0.03,0.514,1.02,AZD6738
293A,RXRG,-0.81,0.21,1.03,AZD6738
293A,RYR1,-1.19,0.117,1.01,AZD6738
293A,RYR2,0.65,0.741,1,AZD6738
293A,RYR3,-0.2,0.42,1.03,AZD6738
293A,S100A1,-0.72,0.237,1.03,AZD6738
293A,S100A10,-0.01,0.496,1.02,AZD6738
293A,S100A12,-0.39,0.348,1.04,AZD6738
293A,S100A13,-0.82,0.205,1.03,AZD6738
293A,S100A14,-1.84,0.0329,0.911,AZD6738
293A,S100A16,2.28,0.989,0.998,AZD6738
293A,S100A3,0.07,0.529,1.01,AZD6738
293A,S100A5,-1.96,0.0251,0.85,AZD6738
293A,S100A6,0.21,0.583,1.01,AZD6738
293A,S100A7L2,0.04,0.515,1.02,AZD6738
293A,S100A8,-1.76,0.0393,0.931,AZD6738
293A,S100A9,-1.61,5.37E-02,0.964,AZD6738
293A,S100B,0.03,0.513,1.02,AZD6738
293A,S100P,2.16,0.984,0.998,AZD6738
293A,S100PBP,0.39,0.65,1.01,AZD6738
293A,S100Z,-0.8,0.211,1.03,AZD6738
293A,S1PR1,0.33,0.629,1.01,AZD6738
293A,S1PR2,0.17,0.569,1.01,AZD6738
293A,S1PR3,0.79,0.784,0.994,AZD6738
293A,S1PR4,1.48,0.931,0.992,AZD6738
293A,S1PR5,-0.16,0.437,1.03,AZD6738
293A,SAA4,-0.75,0.225,1.03,AZD6738
293A,SAAL1,0.95,0.83,0.993,AZD6738
293A,SAC3D1,0.41,0.66,1.01,AZD6738
293A,SACM1L,1.17,0.88,0.993,AZD6738
293A,SACS,-1.54,0.0615,0.963,AZD6738
293A,SAE1,-0.83,0.204,1.03,AZD6738
293A,SAFB,-0.09,0.464,1.02,AZD6738
293A,SAFB2,0.86,0.806,0.992,AZD6738
293A,SAG,-0.38,0.353,1.04,AZD6738
293A,SAGE1,0.63,0.736,1,AZD6738
293A,SALL1,-1.61,0.0537,0.964,AZD6738
293A,SALL2,-1.25,0.106,1.01,AZD6738
293A,SALL3,0.72,0.764,0.997,AZD6738
293A,SALL4,1.07,0.858,0.993,AZD6738
293A,SAMD1,-0.87,0.192,1.03,AZD6738
293A,SAMD10,1.8,0.964,0.995,AZD6738
293A,SAMD11,0.11,0.544,1.01,AZD6738
293A,SAMD12,0.24,0.594,1.01,AZD6738
293A,SAMD13,0.9,0.815,0.993,AZD6738
293A,SAMD14,2.34,0.99,0.998,AZD6738
293A,SAMD15,2.17,0.985,0.998,AZD6738
293A,SAMD3,-0.03,0.487,1.02,AZD6738
293A,SAMD4A,1.09,0.863,0.993,AZD6738
293A,SAMD4B,1.25,0.894,0.993,AZD6738
293A,SAMD5,0.05,0.519,1.02,AZD6738
293A,SAMD7,0.2,0.581,1.01,AZD6738
293A,SAMD8,-0.81,0.21,1.03,AZD6738
293A,SAMD9,0.28,0.61,1.01,AZD6738
