Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,ULK4,2.03,0.979,0.997,AZD6738
MCF10A,UMOD,-0.37,0.355,1.03,AZD6738
MCF10A,UMODL1,1.22,0.889,0.992,AZD6738
MCF10A,UMPS,-0.58,0.28,1.05,AZD6738
MCF10A,UNC119,1.36,0.914,0.994,AZD6738
MCF10A,UNC119B,0.64,0.74,0.992,AZD6738
MCF10A,UNC13A,2.39,0.992,1,AZD6738
MCF10A,UNC13B,-0.97,0.167,1.08,AZD6738
MCF10A,UNC13C,-0.39,0.347,1.03,AZD6738
MCF10A,UNC13D,1.25,0.895,0.993,AZD6738
MCF10A,UNC45A,0.07,0.526,1.01,AZD6738
MCF10A,UNC45B,1.5,0.934,0.994,AZD6738
MCF10A,UNC50,-1.68,0.0466,0.993,AZD6738
MCF10A,UNC5A,0.39,0.652,1,AZD6738
MCF10A,UNC5B,-0.58,0.281,1.05,AZD6738
MCF10A,UNC5C,0.84,0.8,0.993,AZD6738
MCF10A,UNC5D,0.19,0.575,1,AZD6738
MCF10A,UNC79,0.57,0.715,0.992,AZD6738
MCF10A,UNC80,-1.17,0.12,1.07,AZD6738
MCF10A,UNC93A,-1.38,0.0832,1.07,AZD6738
MCF10A,UNCX,-1.09,0.138,1.07,AZD6738
MCF10A,UNG,-0.6,0.273,1.06,AZD6738
MCF10A,UNK,1.48,0.93,0.994,AZD6738
MCF10A,UNKL,-0.8,0.212,1.06,AZD6738
MCF10A,UPB1,-0.84,0.201,1.06,AZD6738
MCF10A,UPF1,-0.42,0.336,1.04,AZD6738
MCF10A,UPF2,-1.84,0.0328,0.947,AZD6738
MCF10A,UPF3B,-0.06,0.477,1.02,AZD6738
MCF10A,UPK1A,0.46,0.676,0.994,AZD6738
MCF10A,UPK1B,0.29,0.614,1,AZD6738
MCF10A,UPK2,1.51,0.934,0.993,AZD6738
MCF10A,UPK3A,0.44,0.671,0.995,AZD6738
MCF10A,UPK3B,-1.03,0.152,1.07,AZD6738
MCF10A,UPP1,-0.81,0.209,1.06,AZD6738
MCF10A,UPP2,-0.86,0.196,1.06,AZD6738
MCF10A,UPRT,-0.11,0.455,1.02,AZD6738
