Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,C7orf33,-0.24,0.403,1.02,VE821
HCT116,C7orf41,-0.45,0.325,1.03,VE821
HCT116,C7orf43,-0.24,0.406,1.02,VE821
HCT116,C7orf49,-1.13,0.13,0.997,VE821
HCT116,C7orf50,-0.26,0.397,1.02,VE821
HCT116,C7orf57,-0.34,0.368,1.02,VE821
HCT116,C7orf60,0.45,0.675,1,VE821
HCT116,C7orf61,0.31,0.621,1.01,VE821
HCT116,C7orf62,0.45,0.675,1,VE821
HCT116,C7orf63,-1.18,0.12,0.994,VE821
HCT116,C7orf65,1,0.843,0.996,VE821
HCT116,C7orf72,1.56,0.941,0.996,VE821
HCT116,C8A,1.03,0.848,0.996,VE821
HCT116,C8B,-1.87,0.0304,0.945,VE821
HCT116,C8G,-0.51,0.305,1.03,VE821
HCT116,C8orf17,2.02,0.978,0.998,VE821
HCT116,C8orf22,-0.17,0.434,1.02,VE821
HCT116,C8orf31,0.13,0.553,1.01,VE821
HCT116,C8orf33,0.75,0.773,0.998,VE821
HCT116,C8orf34,0.53,0.703,1,VE821
HCT116,C8orf37,1.46,0.927,0.995,VE821
HCT116,C8orf4,0.37,0.643,1.01,VE821
HCT116,C8orf47,-0.17,0.432,1.02,VE821
HCT116,C8orf48,-0.49,0.313,1.02,VE821
HCT116,C8orf58,-0.14,0.445,1.02,VE821
HCT116,C8orf74,-0.29,0.385,1.02,VE821
HCT116,C8orf76,-1.41,0.0799,0.987,VE821
HCT116,C8orf82,0.7,0.759,0.999,VE821
HCT116,C8orf86,1.55,0.94,0.996,VE821
HCT116,C8orf87,0.32,0.626,1.01,VE821
HCT116,C9,1.19,0.883,0.994,VE821
HCT116,C9orf114,-0.08,0.467,1.02,VE821
HCT116,C9orf116,-0.07,0.472,1.01,VE821
HCT116,C9orf117,-0.26,0.397,1.02,VE821
HCT116,C9orf129,2.56,0.995,0.999,VE821
HCT116,C9orf131,1.61,0.947,0.996,VE821
HCT116,C9orf135,0.06,0.523,1.01,VE821
HCT116,C9orf139,-1.05,0.146,0.994,VE821
HCT116,C9orf142,0.83,0.797,0.999,VE821
HCT116,C9orf152,0.2,0.578,1.01,VE821
HCT116,C9orf153,0.37,0.643,1.01,VE821
HCT116,C9orf156,2.05,0.98,0.998,VE821
HCT116,C9orf163,0.12,0.548,1.01,VE821
HCT116,C9orf169,-0.54,0.293,1.03,VE821
HCT116,C9orf170,0.23,0.59,1.01,VE821
HCT116,C9orf171,0.24,0.595,1.01,VE821
HCT116,C9orf24,0.04,0.517,1.01,VE821
HCT116,C9orf3,-0.34,0.366,1.02,VE821
HCT116,C9orf37,0.44,0.67,1,VE821
HCT116,C9orf40,1.39,0.918,0.995,VE821
HCT116,C9orf41,0.64,0.737,1,VE821
HCT116,C9orf43,-0.37,0.355,1.02,VE821
HCT116,C9orf47,-0.19,0.426,1.02,VE821
HCT116,C9orf50,0.27,0.607,1.01,VE821
HCT116,C9orf53,1.01,0.845,0.996,VE821
HCT116,C9orf62,0.92,0.822,0.996,VE821
HCT116,C9orf64,-1.1,0.137,0.995,VE821
HCT116,C9orf66,-1.14,0.127,0.997,VE821
HCT116,C9orf69,-0.25,0.402,1.02,VE821
HCT116,C9orf72,-0.61,0.273,1.03,VE821
HCT116,C9orf78,0.93,0.825,0.997,VE821
HCT116,C9orf84,0.1,0.538,1.01,VE821
HCT116,C9orf89,0.74,0.77,0.999,VE821
HCT116,C9orf9,-1.45,0.0742,0.991,VE821
HCT116,C9orf91,-1.48,0.0691,0.989,VE821
HCT116,C9orf96,1.24,0.893,0.995,VE821
HCT116,CA1,-0.05,0.481,1.01,VE821
HCT116,CA10,-0.11,0.458,1.02,VE821
HCT116,CA11,-2,0.023,0.939,VE821
HCT116,CA12,0.06,0.525,1.01,VE821
HCT116,CA13,-0.38,0.354,1.02,VE821
HCT116,CA14,-0.21,0.416,1.02,VE821
HCT116,CA2,-0.08,0.467,1.02,VE821
HCT116,CA3,-0.58,0.281,1.03,VE821
HCT116,CA4,-1.05,0.146,0.994,VE821
HCT116,CA5B,-0.39,0.347,1.02,VE821
HCT116,CA6,0.35,0.638,1.01,VE821
HCT116,CA7,-0.16,0.438,1.02,VE821
HCT116,CA8,0.96,0.833,0.996,VE821
HCT116,CA9,0.82,7.93E-01,9.99E-01,VE821
HCT116,CAAP1,-0.07,4.72E-01,1.01,VE821
HCT116,CAB39,1.88,0.97,0.998,VE821
HCT116,CABIN1,2.06,0.98,0.998,VE821
HCT116,CABLES1,1.09,0.862,0.994,VE821
HCT116,CABLES2,1.21,0.887,0.995,VE821
HCT116,CABP2,-0.73,0.232,1.02,VE821
HCT116,CABP4,-1.23,0.109,0.994,VE821
HCT116,CABP5,-0.28,0.391,1.02,VE821
HCT116,CABP7,-0.27,0.395,1.02,VE821
HCT116,CABS1,0.73,0.768,0.999,VE821
HCT116,CABYR,0.7,0.758,0.999,VE821
HCT116,CACFD1,-0.17,0.431,1.02,VE821
HCT116,CACHD1,1.02,0.845,0.996,VE821
HCT116,CACNA1A,-0.24,0.404,1.02,VE821
HCT116,CACNA1B,-1.26,0.104,1,VE821
HCT116,CACNA1C,1.66,0.952,0.996,VE821
HCT116,CACNA1D,-0.01,0.497,1.01,VE821
HCT116,CACNA1E,-0.27,0.394,1.02,VE821
HCT116,CACNA1F,-0.36,0.361,1.02,VE821
HCT116,CACNA1G,-0.92,0.179,1,VE821
HCT116,CACNA1H,0.02,0.506,1.01,VE821
HCT116,CACNA1I,-0.05,0.481,1.01,VE821
HCT116,CACNA1S,1.89,0.97,0.998,VE821
HCT116,CACNA2D1,1.97,0.976,0.998,VE821
HCT116,CACNA2D2,0.05,0.518,1.01,VE821
HCT116,CACNA2D3,-0.43,0.333,1.03,VE821
HCT116,CACNA2D4,-0.02,0.491,1.01,VE821
HCT116,CACNB1,-1.72,0.0425,0.97,VE821
HCT116,CACNB2,0.4,0.657,1.01,VE821
