Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1_hTER_P53,TJP2,0.91,0.818,0.968,VE821
RPE1_hTER_P53,TJP3,1.51,0.934,0.978,VE821
RPE1_hTER_P53,TK1,-0.26,0.397,1.1,VE821
RPE1_hTER_P53,TK2,-0.16,0.436,1.08,VE821
RPE1_hTER_P53,TKT,-2.15,0.0158,0.75,VE821
RPE1_hTER_P53,TKTL1,1.42,0.923,0.976,VE821
RPE1_hTER_P53,TKTL2,-0.27,0.393,1.11,VE821
RPE1_hTER_P53,TLCD1,-0.53,0.299,1.17,VE821
RPE1_hTER_P53,TLCD2,0.46,0.678,0.989,VE821
RPE1_hTER_P53,TLDC1,0.05,0.521,1.04,VE821
RPE1_hTER_P53,TLDC2,-0.09,0.466,1.07,VE821
RPE1_hTER_P53,TLE1,-0.44,0.33,1.15,VE821
RPE1_hTER_P53,TLE2,0.18,0.573,1.02,VE821
RPE1_hTER_P53,TLE3,0.62,0.731,0.976,VE821
RPE1_hTER_P53,TLE4,0.52,0.7,0.984,VE821
RPE1_hTER_P53,TLE6,-0.45,0.328,1.15,VE821
RPE1_hTER_P53,TLK1,-0.51,0.306,1.17,VE821
RPE1_hTER_P53,TLL1,1.1,0.865,0.969,VE821
RPE1_hTER_P53,TLL2,-0.74,0.23,1.23,VE821
RPE1_hTER_P53,TLN1,0.31,0.62,1,VE821
RPE1_hTER_P53,TLN2,2.14,0.984,0.993,VE821
RPE1_hTER_P53,TLR1,-0.87,0.193,1.25,VE821
RPE1_hTER_P53,TLR10,-0.04,0.482,1.06,VE821
RPE1_hTER_P53,TLR2,0.28,0.609,1.01,VE821
RPE1_hTER_P53,TLR3,1.16,0.877,0.97,VE821
RPE1_hTER_P53,TLR4,0.88,0.811,0.968,VE821
RPE1_hTER_P53,TLR6,-0.52,0.302,1.17,VE821
RPE1_hTER_P53,TLR7,-0.47,0.321,1.16,VE821
RPE1_hTER_P53,TLR8,-1.37,0.0855,1.3,VE821
RPE1_hTER_P53,TLR9,-0.73,0.233,1.22,VE821
RPE1_hTER_P53,TLX1,1.27,0.898,0.972,VE821
RPE1_hTER_P53,TLX1NB,0.29,0.613,1,VE821
RPE1_hTER_P53,TLX2,0.14,0.557,1.03,VE821
RPE1_hTER_P53,TLX3,0.82,0.794,0.969,VE821
RPE1_hTER_P53,TM2D1,-1.99,0.0232,0.878,VE821
RPE1_hTER_P53,TM2D2,-1.15,0.124,1.28,VE821
RPE1_hTER_P53,TM2D3,-0.13,0.45,1.08,VE821
RPE1_hTER_P53,TM4SF1,-1.02,0.153,1.27,VE821
RPE1_hTER_P53,TM4SF18,-0.28,0.389,1.11,VE821
RPE1_hTER_P53,TM4SF19,1.66,0.952,0.983,VE821
RPE1_hTER_P53,TM4SF20,-0.64,0.26,1.2,VE821
RPE1_hTER_P53,TM4SF4,-0.06,0.475,1.06,VE821
RPE1_hTER_P53,TM4SF5,-0.31,0.378,1.12,VE821
RPE1_hTER_P53,TM6SF1,2.05,0.98,0.991,VE821
RPE1_hTER_P53,TM6SF2,0.19,0.574,1.02,VE821
RPE1_hTER_P53,TM7SF2,0.26,0.602,1.01,VE821
RPE1_hTER_P53,TM7SF3,0.58,0.721,0.98,VE821
RPE1_hTER_P53,TM9SF1,-0.25,0.401,1.1,VE821
RPE1_hTER_P53,TM9SF2,1.33,0.908,0.974,VE821
RPE1_hTER_P53,TM9SF3,-1.62,0.053,1.16,VE821
RPE1_hTER_P53,TM9SF4,-0.58,0.279,1.19,VE821
RPE1_hTER_P53,TMBIM1,-1.04,0.148,1.26,VE821
RPE1_hTER_P53,TMBIM4,0.02,0.51,1.05,VE821
RPE1_hTER_P53,TMBIM6,-0.51,0.305,1.17,VE821
RPE1_hTER_P53,TMC1,0.42,0.664,0.99,VE821
RPE1_hTER_P53,TMC2,0.7,0.759,0.972,VE821
RPE1_hTER_P53,TMC3,-0.55,0.29,1.18,VE821
RPE1_hTER_P53,TMC4,1.67,0.952,0.983,VE821
RPE1_hTER_P53,TMC5,0.34,0.635,0.999,VE821
RPE1_hTER_P53,TMC6,0.18,0.571,1.02,VE821
RPE1_hTER_P53,TMC7,0.64,0.739,0.976,VE821
RPE1_hTER_P53,TMC8,0.39,0.65,0.994,VE821
RPE1_hTER_P53,TMCC1,1.25,0.894,0.972,VE821
RPE1_hTER_P53,TMCC2,-0.72,0.235,1.22,VE821
RPE1_hTER_P53,TMCC3,0.56,0.711,0.981,VE821
RPE1_hTER_P53,TMCO1,-0.53,0.297,1.18,VE821
RPE1_hTER_P53,TMCO2,0.06,0.522,1.04,VE821
RPE1_hTER_P53,TMCO3,1.76,0.961,0.984,VE821
RPE1_hTER_P53,TMCO4,0.68,0.752,0.974,VE821
RPE1_hTER_P53,TMCO5A,-1.24,0.107,1.27,VE821
RPE1_hTER_P53,TMCO6,0.32,0.627,1,VE821
RPE1_hTER_P53,TMED1,-0.17,0.433,1.08,VE821
RPE1_hTER_P53,TMED10,0.83,0.796,0.969,VE821
RPE1_hTER_P53,TMED2,2.14,0.984,0.993,VE821
RPE1_hTER_P53,TMED3,0.98,0.836,0.968,VE821
RPE1_hTER_P53,TMED4,1.46,0.928,0.978,VE821
RPE1_hTER_P53,TMED5,0.21,0.584,1.02,VE821
RPE1_hTER_P53,TMED6,0.88,0.811,0.968,VE821
RPE1_hTER_P53,TMED8,-1.04,0.149,1.27,VE821
